Station Name,Adjacent building,Adjacent station,Architect,Area,Connecting line,Date of official closure,Date of official opening,Different from,Has part(s),Has use,Heritage designation,Inception,Interchange station,Localisation,Located on street,Location,Named after,Operator,Owned by,Part of,Pronunciation audio,Significant event,Street address,Transport network,Visitors per year
Alma - Marceau (Paris Metro),,"Iéna (Pont de Sèvres, Paris Métro Line 9)Franklin D. Roosevelt (Mairie de Montreuil, Paris Métro Line 9)",,,Paris Métro Line 9,,27 May 1923,,,,Remarkable Contemporary Architecture,,Pont de l'Alma,"48° 51′ 53.89″ N, 2° 18′ 02.3″ E",,"8th arrondissement of Paris, Paris, Grand Paris, France",place de l'Almaavenue Marceau,RATP,RATP,,,,,Paris Métro,
Les Agnettes (Paris Metro),,,,,,,,,,,,,,"48° 55′ 22.94″ N, 2° 17′ 09.21″ E",,,,,,,,,,,
Alexandre Dumas (Paris Metro),,"Philippe Auguste (Porte Dauphine, Paris Métro Line 2)Avron (Nation, Paris Métro Line 2)",,,Paris Métro Line 2,,31 January 1903,,,,"monument historique inscrit (entrance, 1978–2016)monument historique inscrit (entrance, Paris Métro entrances by Hector Guimard, 2016–)",,,"48° 51′ 20.99″ N, 2° 23′ 40.99″ E",boulevard de Charonne,"11th arrondissement of Paris, Paris, Grand Paris, France",rue Alexandre-Dumas (1970–),RATP,RATP,,,,,Paris Métro,
Abbesses (Paris Metro),,,,,,,,,,,,,,"48° 53′ 04″ N, 2° 20′ 19″ E",,,,,,,,,,,
Aimé Césaire (Paris Metro),,,,,,,,,,,,,,"48° 54′ 29.9″ N, 2° 22′ 40.9″ E",,,,,,,,,,,
Alésia (Paris Metro),,"Mouton-Duvernet (Porte de Clignancourt, Paris Métro Line 4)Porte d'Orléans (Bagneux–Lucie Aubrac, Paris Métro Line 4)",,,Paris Métro Line 4,,30 October 1909,,,,,,,"48° 49′ 42.23″ N, 2° 19′ 36.28″ E",,"14th arrondissement of Paris, Paris, Grand Paris, France",,RATP,RATP,,,,,Paris Métro,
Anatole France (Paris Metro),,"Pont de Levallois – Bécon (Pont de Levallois – Bécon, Paris Métro Line 3)Louise Michel (Gallieni, Paris Métro Line 3)",,,Paris Métro Line 3,,24 September 1937,Anatole France,,,,,,"48° 53′ 30.98″ N, 2° 17′ 08.02″ E",,"Levallois-Perret, Hauts-de-Seine, Île-de-France, Metropolitan France, France",rue Anatole-France,RATP,RATP,,,"renovation (estimation, 2017–2019)",,Paris Métro,
Anvers (Paris Metro),,,,,,,,,,,,,,"48° 52′ 58″ N, 2° 20′ 41″ E",,,,,,,,,,,
Arcueil - Cachan (Paris Metro),,"Bagneux–Lucie Aubrac (Pont de Sèvres, Paris Métro Line 15)Villejuif - Gustave Roussy (Noisy - Champs, Paris Métro Line 15)",,,Paris Métro Line 15,,,,,,,,,"48° 47′ 51″ N, 2° 19′ 41.63″ E",,"Cachan, Val-de-Marne, Île-de-France, Metropolitan France, France",,,,,,Déclaration d'utilité publique (2014),,Paris Métro,
Antonypole - Wissous Centre (Paris Metro),,"Massy Opéra (Nanterre La Folie, Paris Métro Line 18)Aéroport d'Orly (Aéroport d'Orly, Paris Métro Line 18)",,,Paris Métro Line 18,,,,,,,,,"48° 44′ 08″ N, 2° 18′ 34″ E",,,,,,,,,,Paris Métro,
Les Ardoines (Paris Metro),,"Vitry Centre (Pont de Sèvres, Paris Métro Line 15)Le Vert de Maisons (Noisy - Champs, Paris Métro Line 15)",,,Paris Métro Line 15,,,Les Ardoines,,,,,,"48° 46′ 56.64″ N, 2° 24′ 30.64″ E",,"Vitry-sur-Seine, Val-de-Marne, Île-de-France, Metropolitan France, France",,,,,,,,Paris Métro,
Arsenal (Paris Metro),,Quai de la RapéeBastille,,,Paris Métro Line 5,2 September 1939 (World War II),17 December 1906,,,,,17 December 1906,,"48° 50′ 56.55″ N, 2° 21′ 59.91″ E",,"Quartier de l'Arsenal, 4th arrondissement of Paris, Paris Centre, Paris, Grand Paris, France",Bassin de l'Arsenal,,RATP,,,,,Paris Métro,
