Station Name,Accessibilité ,Adjacent building,Adjacent station,Adresse ,Architect,Architecte(s) ,Area,Artiste(s) ,Autocar liO ,Bus ,Bus Tisséo ,"Bus, Navette Tisséo ",Capital cost,Connecting line,Construction ,Coordonnéesgéographiques ,Date of official closure,Date of official opening,Different from,Elevation above sea level,Exploitant ,Has part(s),Has use,Heritage designation,Inception,Interchange station,Ligne(s) ,Linéo Tisséo ,Linéo TisséoNavette Tisséo ,Localisation,Located in or next to body of water,Located on street,Location,Mise en service ,Métro ,Named after,Navette Tisséo ,Nombre d'accès ,Operator,Owned by,Part of,Pays,Position parrapport au sol ,Pronunciation audio,Propriétaire ,Quais ,Quartier ,Quartier de Toulouse ,Replaces,Service entry,Significant event,Street address,Structure replaces,TAD Tisséo ,TER ,TER Occitanie ,Train ,Train urbain ,Trains ,Tramway ,Transit annuel ,Transport network,Téléphérique ,Ville,Visitors per year,Voies ,  ,  Train urbain ,​​​​​​​​​​​​​​​ ,​​​​​​​​​​​​​​​ BHNS ,​​​​​​​​​​​​​​​ Bus 
Berges du Lac (Bordeaux Tramway),,,"Les Aubiers tram stop (Villenave Pyrénées tram stop, Bordeaux Tramway Line C)Quarante Journaux tram stop (Parc des Expositions tram stop, Bordeaux Tramway Line C)",,,,,,,,,,,Bordeaux Tramway Line C,,,,,,,,,,,,,,,,"44° 52′ 44.64″ N, 0° 34′ 14.78″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Bergonié (Bordeaux Tramway),,,"Barrière Saint-Genès tram stop (Pessac Centre tram stop, France Alouette tram stop, Bordeaux Tramway Line B)Saint-Nicolas tram stop (Berges de la Garonne tram stop, Bordeaux Tramway Line B)",,,,,,,,,,,Bordeaux Tramway Line B,,,,,,,,,,,,,,,,"44° 49′ 30.11″ N, 0° 34′ 41.58″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Barrière Saint-Genès (Bordeaux Tramway),,,"Roustaing tram stop (Pessac Centre tram stop, France Alouette tram stop, Bordeaux Tramway Line B)Bergonié tram stop (Berges de la Garonne tram stop, Bordeaux Tramway Line B)",,,,,,,,,,,Bordeaux Tramway Line B,,,,,,,,,,,,,,,,"44° 49′ 14.78″ N, 0° 34′ 59.29″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Arts et Métiers (Bordeaux Tramway),,,"François Bordes tram stop (Pessac Centre tram stop, France Alouette tram stop, Bordeaux Tramway Line B)Béthanie tram stop (Berges de la Garonne tram stop, Bordeaux Tramway Line B)",,,,,,,,,,,Bordeaux Tramway Line B,,,,,,,,,,,,,,,,"44° 48′ 21.54″ N, 0° 36′ 08.22″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Berges de la Garonne (Bordeaux Tramway),,,"Claveau tram stop (France Alouette tram stop, Pessac Centre tram stop, Bordeaux Tramway Line B)",,,,,,,,,,,Bordeaux Tramway Line B,,,,,,,,,,,,,,,,"44° 53′ 08.1″ N, 0° 32′ 29.53″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Buttinière (Bordeaux Tramway),,,"Carnot - Mairie de Cenon tram stop (Le Haillan Rostand tram stop, Bordeaux Tramway Line A)Iris tram stop (La Gardette - Bassens - Carbon-Blanc tram stop, Bordeaux Tramway Line A)Palmer tram stop (Floirac Dravemont tram stop, Bordeaux Tramway Line A)",,,,,,,,,,,Bordeaux Tramway Line A,,,,,,,,,,,,,,,,"44° 51′ 50.77″ N, 0° 31′ 29.81″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Chartrons (Bordeaux Tramway),,,"CAPC Musée d'Art Contemporain tram stop (Pessac Centre tram stop, France Alouette tram stop, Bordeaux Tramway Line B)Cours du Médoc tram stop (Berges de la Garonne tram stop, Bordeaux Tramway Line B)",,,,,,,,,,,Bordeaux Tramway Line B,,,,,,,,,,,,,,,,"44° 51′ 10.03″ N, 0° 34′ 03.57″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
CAPC (Bordeaux Tramway),,,"Chartrons tram stop (Berges de la Garonne tram stop, Bordeaux Tramway Line B)Quinconces tram stop (France Alouette tram stop, Pessac Centre tram stop, Bordeaux Tramway Line B)",,,,,,,,,,,Bordeaux Tramway Line B,,,,,,,,,,,23 July 2007,,,,,"44° 50′ 56.66″ N, 0° 34′ 13.8″ W",,,"Bordeaux, Bordeaux Métropole",,,,,,,,,,,,,,,,,,,Quai des Chartrons,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Claveau (Bordeaux Tramway),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Béthanie (Bordeaux Tramway),,,"Arts & Métiers tram stop (France Alouette tram stop, Pessac Centre tram stop, Bordeaux Tramway Line B)Peixotto tram stop (Berges de la Garonne tram stop, Bordeaux Tramway Line B)",,,,,,,,,,,Bordeaux Tramway Line B,,,,,,,,,,,,,,,,"44° 48′ 21.55″ N, 0° 35′ 52.82″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Doyen Brus (Bordeaux Tramway),,,"Montaigne - Montesquieu tram stop (Pessac Centre tram stop, France Alouette tram stop, Bordeaux Tramway Line B)François Bordes tram stop (Berges de la Garonne tram stop, Bordeaux Tramway Line B)",,,,,,,,,,,Bordeaux Tramway Line B,,,,,,,,,,,,,,,,"44° 48′ 00.99″ N, 0° 36′ 34.61″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Eysines Cantinolle (Bordeaux Tramway),,,"Les SourcesLes Sources (Carle Vernet tram stop, Bordeaux Tramway Line D)",,,,,,,,,,,Bordeaux Tramway Line D,,,,,,,,,,,,,,,,"44° 53′ 31.27″ N, 0° 40′ 02.88″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Eysines Centre (Bordeaux Tramway),,,"Les SourcesPicot tram stopLes Sources (Cantinolle tram stop, Bordeaux Tramway Line D)Picot tram stop (Carle Vernet tram stop, Bordeaux Tramway Line D)",,,,,,,,,,,Bordeaux Tramway Line D,,,,,,,,,,,,,,,,"44° 53′ 02.45″ N, 0° 39′ 00.16″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Fontaine d'Arlac (Bordeaux Tramway),,,"Alfred de Vigny tram stop (Le Haillan Rostand tram stop, Bordeaux Tramway Line A)Peychotte tram stop (La Gardette - Bassens - Carbon-Blanc tram stop, Floirac Dravemont tram stop, Bordeaux Tramway Line A)",,,,,,,,,,,Bordeaux Tramway Line A,,,,,,,,,,,,Mérignac-Arlac railway station,,,,"44° 49′ 35.92″ N, 0° 37′ 32.23″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
France Alouette (Bordeaux Tramway),,,"Gare Pessac Alouette tram stop (Berges de la Garonne tram stop, Bordeaux Tramway Line B)",,,,,,,,,,,Bordeaux Tramway Line B,,,,,,,,,,,,,,,,"44° 47′ 55.02″ N, 0° 39′ 47.17″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
François Bordes (Bordeaux Tramway),,,"Doyen Brus tram stop (Pessac Centre tram stop, France Alouette tram stop, Bordeaux Tramway Line B)Arts & Métiers tram stop (Berges de la Garonne tram stop, Bordeaux Tramway Line B)",,,,,,,,,,,Bordeaux Tramway Line B,,,,,,,,,,,,,,,,"44° 48′ 12.58″ N, 0° 36′ 24.19″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Gare de Blanquefort (Bordeaux Tramway),,,"Frankton tram stop (Villenave Pyrénées tram stop, Bordeaux Tramway Line C)",,,,,,,,,,,Bordeaux Tramway Line C,,,,,,,,,,,,,,,,"44° 55′ 00.47″ N, 0° 37′ 24.86″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Gare Pessac Alouette (Bordeaux Tramway),,,"France Alouette tram stop (France Alouette tram stop, Bordeaux Tramway Line B)Hôpital Haut-Lévêque tram stop (Berges de la Garonne tram stop, Bordeaux Tramway Line B)",,,,,,,,,,,Bordeaux Tramway Line B,,,,,,,,,,,,,,,,"44° 47′ 35.42″ N, 0° 39′ 27.85″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Gambetta - madd (Bordeaux Tramway),,,"Hôtel de Ville tram stop (France Alouette tram stop, Pessac Centre tram stop, Bordeaux Tramway Line B)Grand Théâtre tram stop (Berges de la Garonne tram stop, Bordeaux Tramway Line B)",,,,,,,,,,,Bordeaux Tramway Line B,,,,,,,,,,,,,,,,"44° 50′ 27.8″ N, 0° 34′ 42.47″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Gare Saint-Jean (Bordeaux Tramway),,,"Tauzia tram stop (Parc des Expositions tram stop, Gare de Blanquefort tram stop, Bordeaux Tramway Line C)Belcier tram stop (Villenave Pyrénées tram stop, Bordeaux Tramway Line C)Tauzia tram stop (Cantinolle tram stop, Bordeaux Tramway Line D)Belcier tram stop (Carle Vernet tram stop, Bordeaux Tramway Line D)",,,,,,,,,,,Bordeaux Tramway Line CBordeaux Tramway Line D,,,,,,,,,,,,,,,,"44° 49′ 33.3″ N, 0° 33′ 24.51″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Gaviniès (Bordeaux Tramway),,,"Stade Chaban Delmas tram stop (Le Haillan Rostand tram stop, Bordeaux Tramway Line A)Hôtel de Police tram stop (La Gardette - Bassens - Carbon-Blanc tram stop, Floirac Dravemont tram stop, Bordeaux Tramway Line A)",,,,,,,,,,,Bordeaux Tramway Line A,,,,,,,,,,,,,,,,"44° 49′ 59.16″ N, 0° 35′ 35.36″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Grand Théâtre (Bordeaux Tramway),,,"Gambetta - madd tram stop (Pessac Centre tram stop, France Alouette tram stop, Bordeaux Tramway Line B)Quinconces tram stop (Berges de la Garonne tram stop, Bordeaux Tramway Line B)",,,,,,,,,,,Bordeaux Tramway Line B,,,,,,,,,,,,,,,,"44° 50′ 31.32″ N, 0° 34′ 30.98″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Hippodrome (Bordeaux Tramway),,,"Simone Veil tram stopChamp de Courses - Treulon tram stopSimone Veil tram stop (Cantinolle tram stop, Bordeaux Tramway Line D)Champ de Courses - Treulon tram stop (Carle Vernet tram stop, Bordeaux Tramway Line D)",,,,,,,,,,,Bordeaux Tramway Line D,,,,,Hippodrome (Toulouse tramway),,,,,,,,,,,"44° 52′ 25.81″ N, 0° 37′ 42.3″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Hôtel de Ville (Bordeaux Tramway),,,"Palais de Justice tram stop (Le Haillan Rostand tram stop, Bordeaux Tramway Line A)Sainte Catherine tram stop (La Gardette - Bassens - Carbon-Blanc tram stop, Floirac Dravemont tram stop, Bordeaux Tramway Line A)Gambetta - madd tram stop (Berges de la Garonne tram stop, Bordeaux Tramway Line B)Musée d'Aquitaine tram stop (France Alouette tram stop, Pessac Centre tram stop, Bordeaux Tramway Line B)",,,,,,,,,,,Bordeaux Tramway Line ABordeaux Tramway Line B,,,,,Hôtel de VilleHôtel de VilleHôtel de VilleHôtel de VilleHôtel de Ville,,,,,,,,,,,"44° 50′ 14.39″ N, 0° 34′ 37.88″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Jardin Public (Bordeaux Tramway),,,"Station Place Paul Doumer (Parc des Expositions tram stop, Gare de Blanquefort tram stop, Bordeaux Tramway Line C)Quinconces tram stop (Villenave Pyrénées tram stop, Bordeaux Tramway Line C)",,,,,,,,,,,Bordeaux Tramway Line C,,,,,,,,,,,,,,,,"44° 50′ 53.6″ N, 0° 34′ 31.16″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
La Cité du Vin (Bordeaux Tramway),,,"Les Hangars tram stop (Pessac Centre tram stop, France Alouette tram stop, Bordeaux Tramway Line B)rue Achard tram stop (Berges de la Garonne tram stop, Bordeaux Tramway Line B)",,,,,,,,,,,Bordeaux Tramway Line B,,,,,,,,,,,,,,,,"44° 51′ 38.63″ N, 0° 33′ 11.69″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
La Gardette - Bassens - Carbon-Blanc (Bordeaux Tramway),,,"Carriet tram stop (Le Haillan Rostand tram stop, Bordeaux Tramway Line A)",,,,,,,,,,,Bordeaux Tramway Line A,,,,,,,,,,,,,,,,"44° 53′ 15.6″ N, 0° 31′ 02.33″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Le Haillan Rostand (Bordeaux Tramway),,,"Les Pins tram stop (La Gardette - Bassens - Carbon-Blanc tram stop, Floirac Dravemont tram stop, Bordeaux Tramway Line A)",,,,,,,,,,,Bordeaux Tramway Line A,,,,24 January 2015,,,,,,,,,,,,"44° 51′ 30.66″ N, 0° 40′ 05.95″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
